img	id	shapeIndex	angle	estimate	trueNum
Disk1_NFFYXGFPZ_view2	NFFYXGFPZ	Disk1	0	22	21
Cylinder1_BYJKQ0GU9_view4	BYJKQ0GU9	Cylinder1	45	82	151
Cylinder2_V535C6Z59_view3	V535C6Z59	Cylinder2	66	38	50
Disk1_2GCZP1BYJ_view3	2GCZP1BYJ	Disk1	66	12	11
Disk1_3SVUN1HJL_view3	3SVUN1HJL	Disk1	66	22	37
Cylinder1_XC7T5XT3M_view3	XC7T5XT3M	Cylinder1	66	84	136
Disk2_KZPZYX6I2_view5	KZPZYX6I2	Disk2	22	27	22
Sphere1_55MKNGUJJ_view2	55MKNGUJJ	Sphere1	0	271	314
Sphere2_VPVRI6MWB_view1	VPVRI6MWB	Sphere2	90	115	872
Cylinder1_VA5C6JYKZ_view1	VA5C6JYKZ	Cylinder1	90	64	111
Sphere2_7ILGNRK2D_view1	7ILGNRK2D	Sphere2	90	272	249
Cylinder2_2AF1RYG89_view4	2AF1RYG89	Cylinder2	45	29	31
Cylinder2_XDSIMROG3_view1	XDSIMROG3	Cylinder2	90	41	47
Cylinder2_OHDA3OCBC_view4	OHDA3OCBC	Cylinder2	45	38	49
Cylinder1_QQJOJR0XS_view4	QQJOJR0XS	Cylinder1	45	79	74
Sphere1_3N0VYJFQD_view2	3N0VYJFQD	Sphere1	0	614	407
Disk1_T7OXVFZKO_view5	T7OXVFZKO	Disk1	22	9	10
Cylinder1_26U5PULZX_view2	26U5PULZX	Cylinder1	0	72	101
Cylinder1_GIZUFRSOC_view1	GIZUFRSOC	Cylinder1	90	29	57
Cylinder1_TVACAARY6_view1	TVACAARY6	Cylinder1	90	79	138
Sphere2_0JRIF5LHV_view1	0JRIF5LHV	Sphere2	90	555	554
Cylinder2_YWBCJPVX9_view1	YWBCJPVX9	Cylinder2	90	30	38
Sphere2_KGONB1PPB_view4	KGONB1PPB	Sphere2	45	250	527
Disk2_WNLI89O27_view5	WNLI89O27	Disk2	22	16	16
Disk2_L7HJAI5QH_view2	L7HJAI5QH	Disk2	0	27	27
Disk2_SRGKT7J6W_view3	SRGKT7J6W	Disk2	66	3	6
Sphere2_KPET24YYP_view5	KPET24YYP	Sphere2	22	380	734
Sphere1_YQ7UHJ3SX_view2	YQ7UHJ3SX	Sphere1	0	170	943
Sphere2_80NMDSOCB_view5	80NMDSOCB	Sphere2	22	500	862
Cylinder1_I0WDT82C3_view4	I0WDT82C3	Cylinder1	45	100	116
Cylinder1_M5NR4RF40_view1	M5NR4RF40	Cylinder1	90	75	116
Cylinder2_V1KH4ZGWT_view5	V1KH4ZGWT	Cylinder2	22	25	31
Sphere1_QNFD860RN_view3	QNFD860RN	Sphere1	66	90	654
Disk2_INCY9WRU3_view4	INCY9WRU3	Disk2	45	13	13
Disk2_2JEAZ69Q3_view4	2JEAZ69Q3	Disk2	45	21	26
Cylinder2_LJEPH36J5_view3	LJEPH36J5	Cylinder2	66	8	9
Sphere2_NIB1FRFXN_view2	NIB1FRFXN	Sphere2	0	45	388
Disk2_VPKDNRNXX_view1	VPKDNRNXX	Disk2	90	7	18
Sphere2_QJ7A2VLZJ_view2	QJ7A2VLZJ	Sphere2	0	200	634
Sphere1_6YS8K4A4Q_view4	6YS8K4A4Q	Sphere1	45	100	619
Sphere2_VL08RVUR5_view1	VL08RVUR5	Sphere2	90	50	369
Disk1_P0DDLX60P_view4	P0DDLX60P	Disk1	45	15	12
Cylinder2_I4VF4FG6X_view4	I4VF4FG6X	Cylinder2	45	22	29
Sphere1_V3Q1CLJY3_view4	V3Q1CLJY3	Sphere1	45	100	841
Disk1_B81JI2UKR_view2	B81JI2UKR	Disk1	0	14	10
Disk2_SCRT7R5A3_view2	SCRT7R5A3	Disk2	0	9	9
Cylinder1_RPXD8F8A1_view4	RPXD8F8A1	Cylinder1	45	40	168
Sphere1_ZOSELZLL0_view1	ZOSELZLL0	Sphere1	90	125	996
Cylinder1_RPXD8F8A1_view1	RPXD8F8A1	Cylinder1	90	110	168
Disk1_2GCZP1BYJ_view4	2GCZP1BYJ	Disk1	45	8	11
Sphere1_6YS8K4A4Q_view1	6YS8K4A4Q	Sphere1	90	125	619
Sphere2_KGONB1PPB_view5	KGONB1PPB	Sphere2	22	205	527
Disk2_WNLI89O27_view5	WNLI89O27	Disk2	22	13	16
Disk1_MGZBUG5C3_view3	MGZBUG5C3	Disk1	66	13	23
Cylinder1_TVACAARY6_view4	TVACAARY6	Cylinder1	45	75	138
Sphere1_YQ7UHJ3SX_view5	YQ7UHJ3SX	Sphere1	22	215	943
Sphere2_0JRIF5LHV_view1	0JRIF5LHV	Sphere2	90	110	554
Disk2_KZPZYX6I2_view1	KZPZYX6I2	Disk2	90	13	22
Disk1_3SVUN1HJL_view4	3SVUN1HJL	Disk1	45	26	37
Cylinder2_I4VF4FG6X_view4	I4VF4FG6X	Cylinder2	45	20	29
Sphere2_QJ7A2VLZJ_view2	QJ7A2VLZJ	Sphere2	0	225	634
Disk2_L7HJAI5QH_view1	L7HJAI5QH	Disk2	90	5	27
Cylinder2_SHCV0RIDU_view1	SHCV0RIDU	Cylinder2	90	31	41
Cylinder2_XDSIMROG3_view2	XDSIMROG3	Cylinder2	0	31	47
Disk1_5G8BZBGDD_view1	5G8BZBGDD	Disk1	90	8	32
Sphere2_80NMDSOCB_view5	80NMDSOCB	Sphere2	22	385	862
Sphere2_VPVRI6MWB_view1	VPVRI6MWB	Sphere2	90	385	872
Sphere1_3N0VYJFQD_view5	3N0VYJFQD	Sphere1	22	227	407
Sphere1_QNFD860RN_view2	QNFD860RN	Sphere1	0	155	654
Sphere1_9IFGKGYWD_view3	9IFGKGYWD	Sphere1	66	175	634
Disk2_SRGKT7J6W_view5	SRGKT7J6W	Disk2	22	5	6
Sphere1_55MKNGUJJ_view5	55MKNGUJJ	Sphere1	22	155	314
Cylinder1_VA5C6JYKZ_view5	VA5C6JYKZ	Cylinder1	22	80	111
Cylinder1_QQJOJR0XS_view3	QQJOJR0XS	Cylinder1	66	40	74
Disk2_VPKDNRNXX_view3	VPKDNRNXX	Disk2	66	25	18
Cylinder2_YWBCJPVX9_view3	YWBCJPVX9	Cylinder2	66	30	38
Disk1_T7OXVFZKO_view5	T7OXVFZKO	Disk1	22	10	10
Sphere2_82DFOODCS_view1	82DFOODCS	Sphere2	90	100	295
Disk1_RPXQ5E75S_view2	RPXQ5E75S	Disk1	0	35	34
Cylinder1_BYJKQ0GU9_view4	BYJKQ0GU9	Cylinder1	45	70	151
Cylinder1_GIZUFRSOC_view2	GIZUFRSOC	Cylinder1	0	30	57
Disk2_SRGKT7J6W_view2	SRGKT7J6W	Disk2	0	6	6
Sphere2_KPET24YYP_view4	KPET24YYP	Sphere2	45	300	734
Cylinder1_XC7T5XT3M_view5	XC7T5XT3M	Cylinder1	22	150	136
Cylinder2_V535C6Z59_view4	V535C6Z59	Cylinder2	45	35	50
Sphere1_J19F0VAV8_view2	J19F0VAV8	Sphere1	0	100	324
Disk2_INCY9WRU3_view5	INCY9WRU3	Disk2	22	15	13
Cylinder2_2AF1RYG89_view1	2AF1RYG89	Cylinder2	90	30	31
Sphere2_VL08RVUR5_view3	VL08RVUR5	Sphere2	66	200	369
Disk2_RUXPXZYBF_view2	RUXPXZYBF	Disk2	0	21	21
Cylinder2_XDSIMROG3_view2	XDSIMROG3	Cylinder2	0	50	47
Disk1_P0DDLX60P_view4	P0DDLX60P	Disk1	45	11	12
Cylinder1_M5NR4RF40_view1	M5NR4RF40	Cylinder1	90	75	116
Sphere1_QFJ15C239_view5	QFJ15C239	Sphere1	22	275	987
Sphere1_V3Q1CLJY3_view2	V3Q1CLJY3	Sphere1	0	175	841
Disk2_SCRT7R5A3_view3	SCRT7R5A3	Disk2	66	5	9
Disk2_2JEAZ69Q3_view4	2JEAZ69Q3	Disk2	45	25	26
Disk2_L7HJAI5QH_view3	L7HJAI5QH	Disk2	66	5	27
Cylinder1_TVACAARY6_view3	TVACAARY6	Cylinder1	66	67	138
Disk2_3NA1Z3VH8_view4	3NA1Z3VH8	Disk2	45	14	20
Sphere1_ZOSELZLL0_view5	ZOSELZLL0	Sphere1	22	253	996
Sphere2_QJ7A2VLZJ_view5	QJ7A2VLZJ	Sphere2	22	123	634
Cylinder1_26U5PULZX_view3	26U5PULZX	Cylinder1	66	126	101
Disk2_RUXPXZYBF_view1	RUXPXZYBF	Disk2	90	14	21
Sphere1_YQ7UHJ3SX_view1	YQ7UHJ3SX	Sphere1	90	132	943
Sphere2_VPVRI6MWB_view4	VPVRI6MWB	Sphere2	45	375	872
Cylinder2_IHQ35HXKS_view1	IHQ35HXKS	Cylinder2	90	85	48
Disk1_RPXQ5E75S_view5	RPXQ5E75S	Disk1	22	39	34
Sphere1_QNFD860RN_view1	QNFD860RN	Sphere1	90	223	654
Sphere1_3N0VYJFQD_view2	3N0VYJFQD	Sphere1	0	202	407
Disk1_P0DDLX60P_view5	P0DDLX60P	Disk1	22	15	12
Sphere2_KGONB1PPB_view3	KGONB1PPB	Sphere2	66	187	527
Disk1_NFFYXGFPZ_view1	NFFYXGFPZ	Disk1	90	15	21
Disk1_5G8BZBGDD_view4	5G8BZBGDD	Disk1	45	42	32
Disk2_2JEAZ69Q3_view2	2JEAZ69Q3	Disk2	0	27	26
Cylinder1_GIZUFRSOC_view5	GIZUFRSOC	Cylinder1	22	39	57
Sphere2_80NMDSOCB_view1	80NMDSOCB	Sphere2	90	87	862
Disk2_VPKDNRNXX_view4	VPKDNRNXX	Disk2	45	21	18
Cylinder1_GIZUFRSOC_view4	GIZUFRSOC	Cylinder1	45	25	57
Sphere1_9IFGKGYWD_view4	9IFGKGYWD	Sphere1	45	250	634
Disk1_MGZBUG5C3_view1	MGZBUG5C3	Disk1	90	7	23
Sphere2_82DFOODCS_view2	82DFOODCS	Sphere2	0	200	295
Cylinder1_QQJOJR0XS_view1	QQJOJR0XS	Cylinder1	90	25	74
Disk1_3SVUN1HJL_view1	3SVUN1HJL	Disk1	90	7	37
Disk2_3NA1Z3VH8_view2	3NA1Z3VH8	Disk2	0	20	20
Disk2_RUXPXZYBF_view1	RUXPXZYBF	Disk2	90	14	21
Disk1_2GCZP1BYJ_view2	2GCZP1BYJ	Disk1	0	13	11
Disk2_INCY9WRU3_view3	INCY9WRU3	Disk2	66	12	13
Sphere1_J19F0VAV8_view1	J19F0VAV8	Sphere1	90	200	324
Cylinder2_LJEPH36J5_view5	LJEPH36J5	Cylinder2	22	9	9
Sphere1_YQ7UHJ3SX_view1	YQ7UHJ3SX	Sphere1	90	180	943
Disk2_2JEAZ69Q3_view3	2JEAZ69Q3	Disk2	66	15	26
Disk2_SRGKT7J6W_view3	SRGKT7J6W	Disk2	66	10	6
Cylinder1_M5NR4RF40_view2	M5NR4RF40	Cylinder1	0	65	116
Cylinder2_XDSIMROG3_view3	XDSIMROG3	Cylinder2	66	40	47
Sphere1_3N0VYJFQD_view4	3N0VYJFQD	Sphere1	45	180	407
Cylinder2_SHCV0RIDU_view2	SHCV0RIDU	Cylinder2	0	30	41
Disk2_KZPZYX6I2_view4	KZPZYX6I2	Disk2	45	25	22
Sphere1_ZOSELZLL0_view5	ZOSELZLL0	Sphere1	22	400	996
Sphere2_KGONB1PPB_view2	KGONB1PPB	Sphere2	0	150	527
Cylinder1_26U5PULZX_view3	26U5PULZX	Cylinder1	66	60	101
Disk2_L7HJAI5QH_view5	L7HJAI5QH	Disk2	22	28	27
Cylinder1_RPXD8F8A1_view5	RPXD8F8A1	Cylinder1	22	60	168
Sphere1_6YS8K4A4Q_view3	6YS8K4A4Q	Sphere1	66	150	619
Sphere2_VL08RVUR5_view5	VL08RVUR5	Sphere2	22	124	369
Disk2_L7HJAI5QH_view2	L7HJAI5QH	Disk2	0	20	27
Sphere2_NIB1FRFXN_view2	NIB1FRFXN	Sphere2	0	118	388
Cylinder2_YWBCJPVX9_view1	YWBCJPVX9	Cylinder2	90	45	38
Sphere1_V3Q1CLJY3_view2	V3Q1CLJY3	Sphere1	0	250	841
Cylinder2_V1KH4ZGWT_view2	V1KH4ZGWT	Cylinder2	0	22	31
Sphere1_ZOSELZLL0_view2	ZOSELZLL0	Sphere1	0	300	996
Disk1_P0DDLX60P_view3	P0DDLX60P	Disk1	66	14	12
Sphere1_YQ7UHJ3SX_view2	YQ7UHJ3SX	Sphere1	0	234	943
Sphere2_KGONB1PPB_view4	KGONB1PPB	Sphere2	45	250	527
Cylinder2_I4VF4FG6X_view4	I4VF4FG6X	Cylinder2	45	28	29
Cylinder2_SHCV0RIDU_view3	SHCV0RIDU	Cylinder2	66	45	41
Disk1_5G8BZBGDD_view2	5G8BZBGDD	Disk1	0	37	32
Cylinder1_M5NR4RF40_view3	M5NR4RF40	Cylinder1	66	82	116
Sphere2_QJ7A2VLZJ_view3	QJ7A2VLZJ	Sphere2	66	197	634
Sphere1_6YS8K4A4Q_view4	6YS8K4A4Q	Sphere1	45	205	619
Sphere1_QNFD860RN_view3	QNFD860RN	Sphere1	66	187	654
Cylinder1_I0WDT82C3_view5	I0WDT82C3	Cylinder1	22	68	116
Disk2_SRGKT7J6W_view2	SRGKT7J6W	Disk2	0	6	6
Disk2_2JEAZ69Q3_view4	2JEAZ69Q3	Disk2	45	18	26
Disk1_MGZBUG5C3_view4	MGZBUG5C3	Disk1	45	15	23
Cylinder2_LJEPH36J5_view3	LJEPH36J5	Cylinder2	66	7	9
Sphere2_KPET24YYP_view3	KPET24YYP	Sphere2	66	126	734
Disk2_INCY9WRU3_view3	INCY9WRU3	Disk2	66	8	13
Disk2_L7HJAI5QH_view1	L7HJAI5QH	Disk2	90	5	27
Disk2_VPKDNRNXX_view1	VPKDNRNXX	Disk2	90	7	18
Cylinder1_26U5PULZX_view1	26U5PULZX	Cylinder1	90	95	101
Sphere2_80NMDSOCB_view5	80NMDSOCB	Sphere2	22	865	862
Disk1_2GCZP1BYJ_view4	2GCZP1BYJ	Disk1	45	10	11
Sphere1_9IFGKGYWD_view1	9IFGKGYWD	Sphere1	90	625	634
Sphere1_QNFD860RN_view5	QNFD860RN	Sphere1	22	575	654
Cylinder2_I4VF4FG6X_view1	I4VF4FG6X	Cylinder2	90	33	29
Disk2_SCRT7R5A3_view1	SCRT7R5A3	Disk2	90	5	9
Cylinder2_XDSIMROG3_view1	XDSIMROG3	Cylinder2	90	50	47
Disk2_RUXPXZYBF_view4	RUXPXZYBF	Disk2	45	17	21
Cylinder2_V535C6Z59_view2	V535C6Z59	Cylinder2	0	44	50
Sphere2_KPET24YYP_view3	KPET24YYP	Sphere2	66	770	734
Sphere2_VL08RVUR5_view4	VL08RVUR5	Sphere2	45	525	369
Cylinder2_SHCV0RIDU_view1	SHCV0RIDU	Cylinder2	90	42	41
Cylinder2_OHDA3OCBC_view5	OHDA3OCBC	Cylinder2	22	50	49
Sphere1_J19F0VAV8_view4	J19F0VAV8	Sphere1	45	600	324
Sphere2_VPVRI6MWB_view1	VPVRI6MWB	Sphere2	90	250	872
Disk1_3SVUN1HJL_view1	3SVUN1HJL	Disk1	90	12	37
Disk2_INCY9WRU3_view2	INCY9WRU3	Disk2	0	13	13
Disk1_5G8BZBGDD_view1	5G8BZBGDD	Disk1	90	8	32
Sphere2_QJ7A2VLZJ_view1	QJ7A2VLZJ	Sphere2	90	35	634
Cylinder2_YWBCJPVX9_view5	YWBCJPVX9	Cylinder2	22	25	38
Disk2_INCY9WRU3_view5	INCY9WRU3	Disk2	22	25	13
Cylinder1_QQJOJR0XS_view2	QQJOJR0XS	Cylinder1	0	45	74
Cylinder1_BYJKQ0GU9_view5	BYJKQ0GU9	Cylinder1	22	60	151
Sphere1_QNFD860RN_view4	QNFD860RN	Sphere1	45	70	654
Cylinder1_TVACAARY6_view4	TVACAARY6	Cylinder1	45	65	138
Cylinder2_I4VF4FG6X_view2	I4VF4FG6X	Cylinder2	0	20	29
Disk2_3NA1Z3VH8_view1	3NA1Z3VH8	Disk2	90	35	20
Sphere1_YQ7UHJ3SX_view1	YQ7UHJ3SX	Sphere1	90	75	943
Disk2_L7HJAI5QH_view1	L7HJAI5QH	Disk2	90	15	27
Cylinder1_XC7T5XT3M_view1	XC7T5XT3M	Cylinder1	90	40	136
Disk2_KZPZYX6I2_view4	KZPZYX6I2	Disk2	45	45	22
Sphere1_ZOSELZLL0_view1	ZOSELZLL0	Sphere1	90	65	996
Sphere2_KGONB1PPB_view5	KGONB1PPB	Sphere2	22	55	527
Sphere2_VPVRI6MWB_view4	VPVRI6MWB	Sphere2	45	50	872
Sphere1_3N0VYJFQD_view3	3N0VYJFQD	Sphere1	66	45	407
Cylinder2_IHQ35HXKS_view5	IHQ35HXKS	Cylinder2	22	30	48
Sphere2_80NMDSOCB_view3	80NMDSOCB	Sphere2	66	45	862
Cylinder2_XDSIMROG3_view3	XDSIMROG3	Cylinder2	66	35	47
Disk2_WNLI89O27_view1	WNLI89O27	Disk2	90	30	16
Disk2_VPKDNRNXX_view3	VPKDNRNXX	Disk2	66	20	18
Sphere1_9IFGKGYWD_view5	9IFGKGYWD	Sphere1	22	50	634
Disk2_SRGKT7J6W_view4	SRGKT7J6W	Disk2	45	15	6
Disk1_MGZBUG5C3_view1	MGZBUG5C3	Disk1	90	25	23
Cylinder1_RPXD8F8A1_view1	RPXD8F8A1	Cylinder1	90	50	168
Sphere2_KGONB1PPB_view1	KGONB1PPB	Sphere2	90	300	527
Sphere1_6YS8K4A4Q_view4	6YS8K4A4Q	Sphere1	45	400	619
Disk1_5G8BZBGDD_view2	5G8BZBGDD	Disk1	0	33	32
Disk2_2JEAZ69Q3_view2	2JEAZ69Q3	Disk2	0	25	26
Sphere2_KPET24YYP_view1	KPET24YYP	Sphere2	90	600	734
Cylinder1_26U5PULZX_view5	26U5PULZX	Cylinder1	22	100	101
Sphere1_9IFGKGYWD_view4	9IFGKGYWD	Sphere1	45	350	634
Sphere1_3N0VYJFQD_view5	3N0VYJFQD	Sphere1	22	300	407
Cylinder2_SHCV0RIDU_view4	SHCV0RIDU	Cylinder2	45	50	41
Disk2_RUXPXZYBF_view4	RUXPXZYBF	Disk2	45	24	21
Cylinder1_QQJOJR0XS_view3	QQJOJR0XS	Cylinder1	66	75	74
Disk2_SRGKT7J6W_view5	SRGKT7J6W	Disk2	22	7	6
Sphere1_ZOSELZLL0_view3	ZOSELZLL0	Sphere1	66	400	996
Cylinder2_IHQ35HXKS_view4	IHQ35HXKS	Cylinder2	45	55	48
Cylinder2_V1KH4ZGWT_view3	V1KH4ZGWT	Cylinder2	66	40	31
Disk2_KZPZYX6I2_view2	KZPZYX6I2	Disk2	0	25	22
Disk2_3NA1Z3VH8_view5	3NA1Z3VH8	Disk2	22	25	20
Cylinder1_GIZUFRSOC_view4	GIZUFRSOC	Cylinder1	45	50	57
Disk2_L7HJAI5QH_view5	L7HJAI5QH	Disk2	22	25	27
Disk1_MGZBUG5C3_view3	MGZBUG5C3	Disk1	66	30	23
Cylinder1_RPXD8F8A1_view5	RPXD8F8A1	Cylinder1	22	120	168
Cylinder2_LJEPH36J5_view3	LJEPH36J5	Cylinder2	66	8	9
Disk1_3SVUN1HJL_view3	3SVUN1HJL	Disk1	66	40	37
Sphere1_QFJ15C239_view4	QFJ15C239	Sphere1	45	430	987
Disk2_L7HJAI5QH_view2	L7HJAI5QH	Disk2	0	30	27
Cylinder2_V535C6Z59_view4	V535C6Z59	Cylinder2	45	43	50
Disk2_VPKDNRNXX_view5	VPKDNRNXX	Disk2	22	17	18
Sphere2_80NMDSOCB_view3	80NMDSOCB	Sphere2	66	560	862
Cylinder1_QQJOJR0XS_view2	QQJOJR0XS	Cylinder1	0	52	74
Disk2_2JEAZ69Q3_view4	2JEAZ69Q3	Disk2	45	20	26
Cylinder2_V1KH4ZGWT_view4	V1KH4ZGWT	Cylinder2	45	30	31
Sphere1_ZOSELZLL0_view2	ZOSELZLL0	Sphere1	0	440	996
Disk2_KZPZYX6I2_view1	KZPZYX6I2	Disk2	90	21	22
Sphere1_9IFGKGYWD_view3	9IFGKGYWD	Sphere1	66	450	634
Disk2_SRGKT7J6W_view5	SRGKT7J6W	Disk2	22	7	6
Cylinder2_IHQ35HXKS_view5	IHQ35HXKS	Cylinder2	22	48	48
Cylinder1_RPXD8F8A1_view3	RPXD8F8A1	Cylinder1	66	90	168
Disk1_4UGDYQ3UM_view1	4UGDYQ3UM	Disk1	90	22	15
Cylinder1_TVACAARY6_view1	TVACAARY6	Cylinder1	90	94	138
Sphere2_QJ7A2VLZJ_view5	QJ7A2VLZJ	Sphere2	22	603	634
Disk1_T7OXVFZKO_view1	T7OXVFZKO	Disk1	90	17	10
Sphere1_QNFD860RN_view5	QNFD860RN	Sphere1	22	320	654
Disk1_3SVUN1HJL_view1	3SVUN1HJL	Disk1	90	15	37
Sphere2_KGONB1PPB_view3	KGONB1PPB	Sphere2	66	710	527
Sphere1_3N0VYJFQD_view1	3N0VYJFQD	Sphere1	90	612	407
Disk2_WNLI89O27_view1	WNLI89O27	Disk2	90	11	16
Disk1_5G8BZBGDD_view2	5G8BZBGDD	Disk1	0	32	32
Cylinder2_I4VF4FG6X_view2	I4VF4FG6X	Cylinder2	0	26	29
Disk2_INCY9WRU3_view2	INCY9WRU3	Disk2	0	13	13
Sphere1_J19F0VAV8_view3	J19F0VAV8	Sphere1	66	100	324
Sphere1_9IFGKGYWD_view1	9IFGKGYWD	Sphere1	90	175	634
Cylinder1_26U5PULZX_view5	26U5PULZX	Cylinder1	22	50	101
Disk1_2GCZP1BYJ_view1	2GCZP1BYJ	Disk1	90	7	11
Disk2_SCRT7R5A3_view5	SCRT7R5A3	Disk2	22	9	9
Sphere2_KPET24YYP_view1	KPET24YYP	Sphere2	90	50	734
Disk2_RUXPXZYBF_view2	RUXPXZYBF	Disk2	0	21	21
Sphere1_3N0VYJFQD_view5	3N0VYJFQD	Sphere1	22	165	407
Cylinder2_OHDA3OCBC_view3	OHDA3OCBC	Cylinder2	66	53	49
Disk2_SRGKT7J6W_view1	SRGKT7J6W	Disk2	90	4	6
Sphere2_VPVRI6MWB_view1	VPVRI6MWB	Sphere2	90	235	872
Disk1_3SVUN1HJL_view3	3SVUN1HJL	Disk1	66	31	37
Disk2_VPKDNRNXX_view5	VPKDNRNXX	Disk2	22	18	18
Sphere1_YQ7UHJ3SX_view2	YQ7UHJ3SX	Sphere1	0	85	943
Sphere2_80NMDSOCB_view5	80NMDSOCB	Sphere2	22	120	862
Cylinder1_XC7T5XT3M_view2	XC7T5XT3M	Cylinder1	0	46	136
Sphere1_6YS8K4A4Q_view3	6YS8K4A4Q	Sphere1	66	65	619
Sphere2_82DFOODCS_view2	82DFOODCS	Sphere2	0	50	295
Sphere1_QNFD860RN_view1	QNFD860RN	Sphere1	90	90	654
Cylinder2_V535C6Z59_view2	V535C6Z59	Cylinder2	0	30	50
Disk2_3NA1Z3VH8_view2	3NA1Z3VH8	Disk2	0	20	20
Disk2_L7HJAI5QH_view5	L7HJAI5QH	Disk2	22	34	27
Sphere1_55MKNGUJJ_view1	55MKNGUJJ	Sphere1	90	120	314
Sphere1_QNFD860RN_view1	QNFD860RN	Sphere1	90	80	654
Cylinder1_XC7T5XT3M_view2	XC7T5XT3M	Cylinder1	0	50	136
Sphere2_0JRIF5LHV_view3	0JRIF5LHV	Sphere2	66	278	554
Disk2_SRGKT7J6W_view3	SRGKT7J6W	Disk2	66	4	6
Disk1_MGZBUG5C3_view3	MGZBUG5C3	Disk1	66	15	23
Cylinder1_TVACAARY6_view1	TVACAARY6	Cylinder1	90	79	138
Disk1_5G8BZBGDD_view3	5G8BZBGDD	Disk1	66	30	32
Sphere2_KGONB1PPB_view2	KGONB1PPB	Sphere2	0	78	527
Disk1_3SVUN1HJL_view4	3SVUN1HJL	Disk1	45	20	37
Cylinder2_I4VF4FG6X_view4	I4VF4FG6X	Cylinder2	45	23	29
Sphere1_YQ7UHJ3SX_view1	YQ7UHJ3SX	Sphere1	90	400	943
Sphere1_ZOSELZLL0_view3	ZOSELZLL0	Sphere1	66	500	996
Cylinder2_OHDA3OCBC_view4	OHDA3OCBC	Cylinder2	45	30	49
Disk2_VPKDNRNXX_view3	VPKDNRNXX	Disk2	66	10	18
Cylinder2_XDSIMROG3_view3	XDSIMROG3	Cylinder2	66	30	47
Sphere2_QJ7A2VLZJ_view4	QJ7A2VLZJ	Sphere2	45	300	634
Disk1_2GCZP1BYJ_view5	2GCZP1BYJ	Disk1	22	9	11
Disk2_L7HJAI5QH_view5	L7HJAI5QH	Disk2	22	18	27
Cylinder2_IHQ35HXKS_view5	IHQ35HXKS	Cylinder2	22	40	48
Sphere1_9IFGKGYWD_view1	9IFGKGYWD	Sphere1	90	450	634
Cylinder2_SHCV0RIDU_view4	SHCV0RIDU	Cylinder2	45	34	41
Disk2_3NA1Z3VH8_view4	3NA1Z3VH8	Disk2	45	12	20
Sphere2_80NMDSOCB_view5	80NMDSOCB	Sphere2	22	130	862
Sphere2_VPVRI6MWB_view1	VPVRI6MWB	Sphere2	90	50	872
Disk2_WNLI89O27_view5	WNLI89O27	Disk2	22	13	16
Sphere1_3N0VYJFQD_view1	3N0VYJFQD	Sphere1	90	287	407
Sphere2_QJ7A2VLZJ_view5	QJ7A2VLZJ	Sphere2	22	180	634
Cylinder1_M5NR4RF40_view5	M5NR4RF40	Cylinder1	22	35	116
